Puntuación natural,DC,SE,RD,CD,CL,VB,NL,MT,CM,BS,FI,RG,IN,AR,PC,Edad (meses)
0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,72
1,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1,2.0,2.0,2.0,72
2,3.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,1,3.0,3.0,3.0,72
3,4.0,5.0,3.0,4.0,1.0,3.0,5.0,4.0,3.0,4.0,4.0,1,4.0,4.0,4.0,72
4,5.0,6.0,4.0,5.0,2.0,4.0,6.0,5.0,4.0,5.0,4.0,1,5.0,5.0,5.0,72
5,6.0,7.0,5.0,6.0,2.0,5.0,7.0,6.0,5.0,6.0,5.0,1,6.0,6.0,6.0,72
6,7.0,8.0,6.0,7.0,3.0,5.0,8.0,7.0,6.0,7.0,5.0,1,6.0,7.0,7.0,72
7,8.0,9.0,7.0,8.0,3.0,6.0,9.0,8.0,7.0,7.0,6.0,2,7.0,8.0,8.0,72
8,8.0,10.0,8.0,9.0,4.0,6.0,10.0,8.0,8.0,8.0,7.0,2,8.0,8.0,9.0,72
9,9.0,11.0,9.0,10.0,4.0,7.0,11.0,9.0,8.0,8.0,7.0,2,9.0,8.0,10.0,72
10,9.0,12.0,9.0,11.0,4.0,7.0,11.0,10.0,9.0,8.0,8.0,2,10.0,9.0,11.0,72
11,10.0,12.0,10.0,12.0,4.0,8.0,11.0,10.0,9.0,9.0,8.0,2,11.0,10.0,12.0,72
12,10.0,13.0,11.0,12.0,5.0,8.0,12.0,11.0,10.0,9.0,9.0,3,12.0,10.0,13.0,72
13,11.0,13.0,12.0,13.0,5.0,9.0,12.0,11.0,11.0,9.0,9.0,3,13.0,11.0,14.0,72
14,11.0,14.0,13.0,14.0,5.0,9.0,13.0,12.0,11.0,10.0,10.0,3,14.0,12.0,15.0,72
15,11.0,14.0,14.0,14.0,6.0,9.0,14.0,12.0,11.0,10.0,10.0,3,15.0,12.0,16.0,72
16,12.0,15.0,15.0,15.0,6.0,10.0,15.0,13.0,12.0,10.0,11.0,4,16.0,12.0,17.0,72
17,12.0,15.0,16.0,16.0,6.0,11.0,16.0,14.0,12.0,11.0,11.0,4,17.0,13.0,18.0,72
18,12.0,16.0,17.0,16.0,7.0,11.0,17.0,15.0,12.0,11.0,12.0,4,18.0,14.0,19.0,72
19,12.0,16.0,18.0,17.0,7.0,12.0,18.0,16.0,12.0,11.0,12.0,4,19.0,15.0,19.0,72
20,12.0,17.0,19.0,18.0,7.0,12.0,19.0,17.0,13.0,12.0,13.0,5,19.0,16.0,19.0,72
21,13.0,17.0,19.0,19.0,7.0,13.0,19.0,18.0,14.0,12.0,14.0,5,19.0,17.0,19.0,72
22,13.0,18.0,19.0,19.0,8.0,13.0,19.0,19.0,15.0,12.0,14.0,5,19.0,18.0,19.0,72
23,14.0,18.0,19.0,19.0,8.0,14.0,19.0,19.0,16.0,12.0,15.0,5,19.0,19.0,19.0,72
24,14.0,19.0,19.0,19.0,8.0,14.0,19.0,19.0,17.0,13.0,16.0,5,19.0,19.0,19.0,72
25,14.0,19.0,19.0,19.0,8.0,15.0,19.0,19.0,18.0,13.0,17.0,6,19.0,19.0,,72
26,14.0,19.0,19.0,19.0,8.0,15.0,19.0,19.0,19.0,14.0,18.0,6,19.0,19.0,,72
27,15.0,19.0,19.0,19.0,9.0,16.0,19.0,19.0,19.0,14.0,18.0,6,19.0,19.0,,72
28,15.0,19.0,19.0,19.0,9.0,17.0,19.0,19.0,19.0,14.0,19.0,7,19.0,19.0,,72
29,15.0,19.0,19.0,,9.0,18.0,19.0,19.0,19.0,15.0,19.0,7,19.0,19.0,,72
30,15.0,19.0,19.0,,9.0,19.0,19.0,19.0,19.0,15.0,19.0,7,19.0,19.0,,72
31,15.0,19.0,19.0,,9.0,19.0,,19.0,19.0,15.0,19.0,7,19.0,19.0,,72
32,15.0,19.0,19.0,,10.0,19.0,,19.0,19.0,16.0,19.0,8,19.0,19.0,,72
33,16.0,19.0,,,10.0,19.0,,19.0,19.0,16.0,19.0,8,19.0,19.0,,72
34,16.0,19.0,,,10.0,19.0,,19.0,19.0,17.0,19.0,8,,19.0,,72
35,16.0,19.0,,,10.0,19.0,,19.0,19.0,17.0,19.0,8,,,,72
36,16.0,19.0,,,10.0,19.0,,,19.0,17.0,19.0,8,,,,72
37,16.0,19.0,,,11.0,19.0,,,19.0,18.0,19.0,8,,,,72
38,16.0,19.0,,,11.0,19.0,,,19.0,18.0,19.0,8,,,,72
39,17.0,19.0,,,11.0,19.0,,,19.0,18.0,,8,,,,72
40,17.0,19.0,,,11.0,19.0,,,19.0,19.0,,9,,,,72
41,17.0,19.0,,,12.0,19.0,,,19.0,19.0,,9,,,,72
42,17.0,19.0,,,12.0,19.0,,,19.0,19.0,,9,,,,72
43,18.0,19.0,,,12.0,19.0,,,,19.0,,9,,,,72
44,18.0,19.0,,,12.0,19.0,,,,19.0,,9,,,,72
45,18.0,,,,13.0,19.0,,,,19.0,,9,,,,72
46,18.0,,,,13.0,19.0,,,,,,9,,,,72
47,18.0,,,,13.0,19.0,,,,,,10,,,,72
48,18.0,,,,13.0,19.0,,,,,,10,,,,72
49,18.0,,,,13.0,19.0,,,,,,10,,,,72
50,18.0,,,,14.0,19.0,,,,,,10,,,,72
51,19.0,,,,14.0,19.0,,,,,,10,,,,72
52,19.0,,,,14.0,19.0,,,,,,10,,,,72
53,19.0,,,,14.0,19.0,,,,,,11,,,,72
54,19.0,,,,14.0,19.0,,,,,,11,,,,72
55,19.0,,,,14.0,19.0,,,,,,11,,,,72
56,19.0,,,,15.0,19.0,,,,,,11,,,,72
57,19.0,,,,15.0,19.0,,,,,,11,,,,72
58,19.0,,,,15.0,19.0,,,,,,11,,,,72
59,19.0,,,,15.0,19.0,,,,,,11,,,,72
60,19.0,,,,16.0,19.0,,,,,,11,,,,72
61,19.0,,,,16.0,19.0,,,,,,12,,,,72
62,19.0,,,,17.0,19.0,,,,,,12,,,,72
63,19.0,,,,17.0,19.0,,,,,,12,,,,72
64,19.0,,,,18.0,19.0,,,,,,12,,,,72
65,19.0,,,,19.0,19.0,,,,,,12,,,,72
66,19.0,,,,,19.0,,,,,,12,,,,72
67,19.0,,,,,19.0,,,,,,13,,,,72
68,19.0,,,,,19.0,,,,,,13,,,,72
69,,,,,,,,,,,,13,,,,72
70,,,,,,,,,,,,13,,,,72
71,,,,,,,,,,,,13,,,,72
72,,,,,,,,,,,,13,,,,72
73,,,,,,,,,,,,14,,,,72
74,,,,,,,,,,,,14,,,,72
75,,,,,,,,,,,,14,,,,72
76,,,,,,,,,,,,14,,,,72
77,,,,,,,,,,,,14,,,,72
78,,,,,,,,,,,,14,,,,72
79,,,,,,,,,,,,14,,,,72
80,,,,,,,,,,,,14,,,,72
81,,,,,,,,,,,,15,,,,72
82,,,,,,,,,,,,15,,,,72
83,,,,,,,,,,,,15,,,,72
84,,,,,,,,,,,,15,,,,72
85,,,,,,,,,,,,15,,,,72
86,,,,,,,,,,,,16,,,,72
87,,,,,,,,,,,,16,,,,72
88,,,,,,,,,,,,17,,,,72
89,,,,,,,,,,,,18,,,,72
90,,,,,,,,,,,,19,,,,72
91,,,,,,,,,,,,19,,,,72
92,,,,,,,,,,,,19,,,,72
93,,,,,,,,,,,,19,,,,72
94,,,,,,,,,,,,19,,,,72
95,,,,,,,,,,,,19,,,,72
96,,,,,,,,,,,,19,,,,72
97,,,,,,,,,,,,19,,,,72
98,,,,,,,,,,,,19,,,,72
99,,,,,,,,,,,,19,,,,72
100,,,,,,,,,,,,19,,,,72
101,,,,,,,,,,,,19,,,,72
102,,,,,,,,,,,,19,,,,72
103,,,,,,,,,,,,19,,,,72
104,,,,,,,,,,,,19,,,,72
105,,,,,,,,,,,,19,,,,72
106,,,,,,,,,,,,19,,,,72
107,,,,,,,,,,,,19,,,,72
108,,,,,,,,,,,,19,,,,72
109,,,,,,,,,,,,19,,,,72
110,,,,,,,,,,,,19,,,,72
111,,,,,,,,,,,,19,,,,72
112,,,,,,,,,,,,19,,,,72
113,,,,,,,,,,,,19,,,,72
114,,,,,,,,,,,,19,,,,72
115,,,,,,,,,,,,19,,,,72
116,,,,,,,,,,,,19,,,,72
117,,,,,,,,,,,,19,,,,72
118,,,,,,,,,,,,19,,,,72
119,,,,,,,,,,,,19,,,,72
120,,,,,,,,,,,,19,,,,72
121,,,,,,,,,,,,19,,,,72
122,,,,,,,,,,,,19,,,,72
123,,,,,,,,,,,,19,,,,72
124,,,,,,,,,,,,19,,,,72
125,,,,,,,,,,,,19,,,,72
126,,,,,,,,,,,,19,,,,72
127,,,,,,,,,,,,19,,,,72
128,,,,,,,,,,,,19,,,,72
129,,,,,,,,,,,,19,,,,72
130,,,,,,,,,,,,19,,,,72
131,,,,,,,,,,,,19,,,,72
132,,,,,,,,,,,,19,,,,72
133,,,,,,,,,,,,19,,,,72
134,,,,,,,,,,,,19,,,,72
135,,,,,,,,,,,,19,,,,72
136,,,,,,,,,,,,19,,,,72
0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,76
1,2.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1,2.0,2.0,2.0,76
2,3.0,4.0,1.0,3.0,1.0,2.0,4.0,3.0,2.0,2.0,3.0,1,3.0,3.0,3.0,76
3,4.0,5.0,2.0,4.0,1.0,3.0,5.0,4.0,3.0,3.0,4.0,1,4.0,4.0,4.0,76
4,5.0,6.0,3.0,5.0,2.0,4.0,6.0,5.0,4.0,4.0,4.0,1,5.0,5.0,5.0,76
5,5.0,6.0,5.0,6.0,2.0,5.0,7.0,6.0,5.0,5.0,5.0,1,6.0,6.0,6.0,76
6,6.0,7.0,6.0,7.0,3.0,5.0,8.0,7.0,6.0,5.0,5.0,1,7.0,6.0,7.0,76
7,7.0,8.0,7.0,8.0,3.0,5.0,8.0,7.0,6.0,6.0,6.0,2,8.0,7.0,8.0,76
8,8.0,8.0,8.0,8.0,4.0,6.0,9.0,8.0,7.0,6.0,7.0,2,9.0,8.0,9.0,76
9,8.0,9.0,9.0,9.0,4.0,6.0,9.0,8.0,8.0,7.0,7.0,2,9.0,8.0,10.0,76
10,9.0,10.0,9.0,9.0,4.0,6.0,10.0,9.0,8.0,7.0,8.0,2,10.0,9.0,11.0,76
11,9.0,11.0,10.0,10.0,4.0,7.0,11.0,10.0,9.0,7.0,8.0,2,11.0,9.0,12.0,76
12,9.0,12.0,11.0,11.0,5.0,7.0,11.0,11.0,9.0,8.0,9.0,3,12.0,10.0,13.0,76
13,10.0,12.0,12.0,12.0,5.0,8.0,12.0,11.0,10.0,8.0,9.0,3,13.0,10.0,14.0,76
14,10.0,13.0,13.0,13.0,5.0,8.0,12.0,12.0,11.0,8.0,9.0,3,14.0,10.0,15.0,76
15,11.0,13.0,14.0,14.0,5.0,8.0,13.0,12.0,11.0,9.0,10.0,3,15.0,11.0,16.0,76
16,11.0,14.0,15.0,15.0,6.0,9.0,14.0,13.0,11.0,9.0,11.0,4,16.0,12.0,17.0,76
17,11.0,14.0,16.0,16.0,6.0,9.0,15.0,13.0,12.0,10.0,11.0,4,17.0,13.0,18.0,76
18,11.0,15.0,17.0,16.0,6.0,10.0,16.0,14.0,12.0,10.0,12.0,4,18.0,14.0,19.0,76
19,11.0,15.0,18.0,17.0,6.0,10.0,17.0,15.0,12.0,10.0,12.0,4,19.0,15.0,19.0,76
20,12.0,16.0,19.0,18.0,6.0,10.0,18.0,16.0,13.0,10.0,12.0,5,19.0,16.0,19.0,76
21,12.0,16.0,19.0,19.0,6.0,11.0,19.0,17.0,14.0,11.0,13.0,5,19.0,17.0,19.0,76
22,12.0,17.0,19.0,19.0,6.0,11.0,19.0,18.0,15.0,11.0,14.0,5,19.0,18.0,19.0,76
23,13.0,17.0,19.0,19.0,6.0,12.0,19.0,19.0,16.0,12.0,15.0,5,19.0,19.0,19.0,76
24,13.0,18.0,19.0,19.0,7.0,13.0,19.0,19.0,17.0,12.0,16.0,5,19.0,19.0,19.0,76
25,13.0,18.0,19.0,19.0,7.0,14.0,19.0,19.0,18.0,12.0,17.0,6,19.0,19.0,,76
26,14.0,19.0,19.0,19.0,8.0,15.0,19.0,19.0,19.0,13.0,18.0,6,19.0,19.0,,76
27,14.0,19.0,19.0,19.0,8.0,16.0,19.0,19.0,19.0,13.0,18.0,6,19.0,19.0,,76
28,14.0,19.0,19.0,19.0,8.0,17.0,19.0,19.0,19.0,14.0,19.0,6,19.0,19.0,,76
29,14.0,19.0,19.0,,8.0,18.0,19.0,19.0,19.0,14.0,19.0,6,19.0,19.0,,76
30,15.0,19.0,19.0,,9.0,19.0,19.0,19.0,19.0,15.0,19.0,7,19.0,19.0,,76
31,15.0,19.0,19.0,,9.0,19.0,,19.0,19.0,15.0,19.0,7,19.0,19.0,,76
32,15.0,19.0,19.0,,9.0,19.0,,19.0,19.0,16.0,19.0,7,19.0,19.0,,76
33,15.0,19.0,,,9.0,19.0,,19.0,19.0,16.0,19.0,7,19.0,19.0,,76
34,15.0,19.0,,,10.0,19.0,,19.0,19.0,17.0,19.0,8,,19.0,,76
35,16.0,19.0,,,10.0,19.0,,19.0,19.0,17.0,19.0,8,,,,76
36,16.0,19.0,,,10.0,19.0,,,19.0,17.0,19.0,8,,,,76
37,16.0,19.0,,,11.0,19.0,,,19.0,18.0,19.0,8,,,,76
38,16.0,19.0,,,11.0,19.0,,,19.0,18.0,19.0,8,,,,76
39,16.0,19.0,,,11.0,19.0,,,19.0,18.0,,8,,,,76
40,17.0,19.0,,,11.0,19.0,,,19.0,19.0,,9,,,,76
41,17.0,19.0,,,11.0,19.0,,,19.0,19.0,,9,,,,76
42,17.0,19.0,,,11.0,19.0,,,19.0,19.0,,9,,,,76
43,17.0,19.0,,,12.0,19.0,,,,19.0,,9,,,,76
44,18.0,19.0,,,12.0,19.0,,,,19.0,,9,,,,76
45,18.0,,,,12.0,19.0,,,,19.0,,9,,,,76
46,18.0,,,,12.0,19.0,,,,,,9,,,,76
47,18.0,,,,12.0,19.0,,,,,,9,,,,76
48,18.0,,,,12.0,19.0,,,,,,9,,,,76
49,18.0,,,,13.0,19.0,,,,,,10,,,,76
50,18.0,,,,13.0,19.0,,,,,,10,,,,76
51,19.0,,,,13.0,19.0,,,,,,10,,,,76
52,19.0,,,,13.0,19.0,,,,,,10,,,,76
53,19.0,,,,14.0,19.0,,,,,,10,,,,76
54,19.0,,,,14.0,19.0,,,,,,10,,,,76
55,19.0,,,,14.0,19.0,,,,,,11,,,,76
56,19.0,,,,14.0,19.0,,,,,,11,,,,76
57,19.0,,,,15.0,19.0,,,,,,11,,,,76
58,19.0,,,,15.0,19.0,,,,,,11,,,,76
59,19.0,,,,15.0,19.0,,,,,,11,,,,76
60,19.0,,,,16.0,19.0,,,,,,11,,,,76
61,19.0,,,,16.0,19.0,,,,,,12,,,,76
62,19.0,,,,17.0,19.0,,,,,,12,,,,76
63,19.0,,,,17.0,19.0,,,,,,12,,,,76
64,19.0,,,,18.0,19.0,,,,,,12,,,,76
65,19.0,,,,19.0,19.0,,,,,,12,,,,76
66,19.0,,,,,19.0,,,,,,12,,,,76
67,19.0,,,,,19.0,,,,,,12,,,,76
