Puntuación escalar,ICV,Rango percentil_ICV,Confianza 95_ICV,IRP,Rango percentil_IRP,Confianza 95_IRP,IMT,Rango percentil_IMT,Confianza 95_IMT,IVP,Rango percentil_IVP,Confianza 95_IVP,Suma puntuaciones escalares,CIT,Rango percentil_CIT,Confianza 95_CIT
2,,,,,,,50.0,"< 0,1",46-62,50.0,"< 0,1",47-65,,,,
3,45.0,"< 0,1",42-55,45.0,"< 0,1",42-57,52.0,0.1,48-63,53.0,0.1,50-68,,,,
4,47.0,"< 0,1",43-57,47.0,"< 0,1",44-59,54.0,0.1,50-65,56.0,0.2,52-70,,,,
5,50.0,"< 0,1",46-60,49.0,"< 0,1",45-61,56.0,0.2,52-67,59.0,0.3,55-73,,,,
6,53.0,0.1,49-63,51.0,0.1,47-63,59.0,0.3,55-70,62.0,1,58-76,,,,
7,55.0,0.1,51-64,53.0,0.1,49-64,62.0,1,57-73,65.0,1,60-78,,,,
8,57.0,0.2,53-66,55.0,0.1,51-66,65.0,1,60-75,68.0,2,63-81,,,,
9,59.0,0.3,55-68,57.0,0.2,53-68,68.0,2,63-78,70.0,2,65-83,,,,
10,61.0,0.5,57-70,59.0,0.3,55-70,71.0,3,66-81,73.0,4,67-85,10.0,40.0,"< 0,1",37-47
11,63.0,1,58-72,61.0,0.5,56-72,74.0,4,68-84,75.0,5,69-87,11.0,40.0,"< 0,1",37-47
12,65.0,1,60-74,63.0,1,58-74,77.0,6,71-86,78.0,7,72-90,12.0,40.0,"< 0,1",37-47
13,67.0,1,62-76,65.0,1,60-75,80.0,9,74-89,80.0,9,73-91,13.0,40.0,"< 0,1",37-47
14,69.0,2,64-78,67.0,1,62-77,83.0,13,77-92,83.0,13,76-94,14.0,40.0,"< 0,1",37-47
15,71.0,3,66-80,69.0,2,64-79,86.0,18,79-95,85.0,16,78-96,15.0,41.0,"< 0,1",38-48
16,73.0,4,68-81,71.0,3,66-81,88.0,21,81-97,88.0,21,80-98,16.0,41.0,"< 0,1",38-48
17,75.0,5,70-83,73.0,4,68-83,91.0,27,84-99,91.0,27,83-101,17.0,42.0,"< 0,1",39-49
18,77.0,6,72-85,75.0,5,69-85,94.0,34,87-102,94.0,34,86-104,18.0,42.0,"< 0,1",39-49
19,79.0,8,73-87,77.0,6,71-86,97.0,42,90-105,97.0,42,88-106,19.0,43.0,"< 0,1",40-50
20,81.0,10,75-89,79.0,8,76-88,99.0,47,91-107,100.0,50,91-109,20.0,44.0,"< 0,1",41-51
21,83.0,13,77-91,82.0,12,76-91,102.0,55,94-109,103.0,58,94-112,21.0,44.0,"< 0,1",41-51
22,85.0,16,79-93,84.0,14,78-93,104.0,61,96-111,106.0,66,96-114,22.0,45.0,"< 0,1",42-52
23,87.0,19,81-95,86.0,18,79-95,107.0,68,99-114,109.0,73,99-117,23.0,46.0,"< 0,1",43-53
24,89.0,23,83-96,88.0,21,81-97,110.0,75,102-117,112.0,79,102-120,24.0,46.0,"< 0,1",43-53
25,91.0,27,85-98,90.0,25,83-98,113.0,81,104-120,115.0,84,104-122,25.0,47.0,"< 0,1",44-54
26,93.0,32,87-100,92.0,30,85-100,116.0,86,107-122,118.0,88,107-125,26.0,48.0,"< 0,1",45-54
27,95.0,37,89-102,94.0,34,87-102,120.0,91,111-126,121.0,92,110-127,27.0,48.0,"< 0,1",45-54
28,96.0,39,89-103,96.0,39,89-104,123.0,94,114-129,123.0,94,111-129,28.0,49.0,"< 0,1",46-55
29,98.0,45,91-105,98.0,45,91-106,126.0,96,116-132,126.0,96,114-132,29.0,50.0,"< 0,1",47-56
30,99.0,47,92-106,100.0,50,92-108,129.0,97,119-134,128.0,97,116-134,30.0,50.0,"< 0,1",47-56
31,100.0,50,93-107,102.0,55,94-109,132.0,98,122-137,131.0,98,118-136,31.0,51.0,0.1,48-57
32,102.0,55,95-109,104.0,61,96-111,135.0,99,125-140,133.0,99,120-138,32.0,52.0,0.1,49-58
33,104.0,61,97-111,106.0,66,98-113,138.0,99,127-143,136.0,99,123-141,33.0,52.0,0.1,49-58
34,106.0,66,99-112,108.0,70,100-115,141.0,99.7,130-145,138.0,99,124-142,34.0,53.0,0.1,49-59
35,108.0,70,101-114,110.0,75,102-117,144.0,99.8,133-148,141.0,99.7,127-145,35.0,54.0,0.1,50-60
36,110.0,75,103-116,112.0,79,103-119,146.0,99.9,135-150,144.0,99.8,130-148,36.0,54.0,0.1,50-60
37,112.0,79,105-118,115.0,84,106-121,148.0,99.9,137-152,147.0,99.9,132-150,37.0,55.0,0.1,51-61
